         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion        mstn        mstp
   20   5.964384E+03   3.920510E-01   7.889E+14   7.285E+34   4.445E-01      9.270E-01   7.555E-01   1.071E+00   2.285E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.101E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.078634E-01   4.056915E-01
   21   6.062178E+03   4.096525E-01   7.819E+14   7.087E+34   4.409E-01      9.231E-01   7.506E-01   1.065E+00   2.280E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.056E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.097077E-01   4.071135E-01
   22   6.156915E+03   4.267037E-01   7.751E+14   6.896E+34   4.374E-01      9.192E-01   7.459E-01   1.060E+00   2.274E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.011E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.115149E-01   4.085212E-01
   23   6.248823E+03   4.432457E-01   7.685E+14   6.710E+34   4.340E-01      9.154E-01   7.412E-01   1.055E+00   2.269E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.966E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.132849E-01   4.099046E-01
   24   6.338104E+03   4.593149E-01   7.621E+14   6.529E+34   4.307E-01      9.117E-01   7.366E-01   1.050E+00   2.263E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.920E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.150190E-01   4.112600E-01
   25   6.424938E+03   4.766906E-01   7.552E+14   6.354E+34   4.271E-01      9.077E-01   7.317E-01   1.045E+00   2.258E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.871E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.169107E-01   4.127512E-01
   26   6.509487E+03   4.942731E-01   7.482E+14   6.182E+34   4.235E-01      9.036E-01   7.266E-01   1.039E+00   2.252E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.819E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.188425E-01   4.142770E-01
   27   6.591894E+03   5.114104E-01   7.414E+14   6.015E+34   4.200E-01      8.996E-01   7.216E-01   1.033E+00   2.246E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.767E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.207428E-01   4.157782E-01
   28   6.672291E+03   5.281295E-01   7.347E+14   5.852E+34   4.165E-01      8.957E-01   7.167E-01   1.028E+00   2.240E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.715E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.226184E-01   4.172787E-01
   29   6.750795E+03   5.444551E-01   7.283E+14   5.693E+34   4.131E-01      8.918E-01   7.118E-01   1.023E+00   2.235E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.663E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.244664E-01   4.187571E-01
   30   6.827516E+03   5.604097E-01   7.219E+14   5.537E+34   4.098E-01      8.880E-01   7.070E-01   1.018E+00   2.229E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.611E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.262885E-01   4.202162E-01
   31   6.902550E+03   5.760135E-01   7.157E+14   5.385E+34   4.066E-01      8.842E-01   7.023E-01   1.012E+00   2.224E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.560E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.280889E-01   4.216771E-01
   32   6.975986E+03   5.912853E-01   7.096E+14   5.236E+34   4.034E-01      8.805E-01   6.977E-01   1.007E+00   2.219E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.508E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.298661E-01   4.231193E-01
   33   7.047909E+03   6.063287E-01   7.036E+14   5.091E+34   4.002E-01      8.768E-01   6.930E-01   1.002E+00   2.213E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.456E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.316360E-01   4.245556E-01
   34   7.118392E+03   6.226169E-01   6.969E+14   4.952E+34   3.966E-01      8.727E-01   6.878E-01   9.967E-01   2.207E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.396E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.336498E-01   4.262108E-01
   35   7.187507E+03   6.385890E-01   6.903E+14   4.816E+34   3.931E-01      8.686E-01   6.825E-01   9.910E-01   2.201E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.335E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.356437E-01   4.278508E-01
   36   7.255318E+03   6.542595E-01   6.838E+14   4.683E+34   3.897E-01      8.645E-01   6.773E-01   9.854E-01   2.195E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.275E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.376184E-01   4.294773E-01
   37   7.321884E+03   6.696426E-01   6.774E+14   4.552E+34   3.863E-01      8.605E-01   6.722E-01   9.799E-01   2.190E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.215E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.395727E-01   4.311087E-01
   38   7.387261E+03   6.847508E-01   6.711E+14   4.424E+34   3.830E-01      8.566E-01   6.672E-01   9.745E-01   2.184E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.154E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.415102E-01   4.327260E-01
   39   7.451502E+03   6.995963E-01   6.650E+14   4.297E+34   3.797E-01      8.526E-01   6.621E-01   9.691E-01   2.178E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.093E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.434317E-01   4.343323E-01
   40   7.514653E+03   7.141901E-01   6.589E+14   4.173E+34   3.765E-01      8.488E-01   6.571E-01   9.638E-01   2.172E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.032E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.453386E-01   4.359471E-01
   41   7.576761E+03   7.285428E-01   6.530E+14   4.051E+34   3.733E-01      8.449E-01   6.522E-01   9.585E-01   2.167E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.972E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.472312E-01   4.375498E-01
