         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion        mstn        mstp
   88   9.773494E+03   1.248127E+00   3.271E+14   6.501E+33   1.924E-01      6.678E-01   3.962E-01   7.114E-01   1.747E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.147E+09   1.612E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.721394E-01   5.789541E-01
   89   9.810376E+03   1.254800E+00   3.178E+14   6.180E+33   1.868E-01      6.602E-01   3.833E-01   7.007E-01   1.731E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.992E+09   1.746E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.770710E-01   5.850739E-01
   90   9.846982E+03   1.261423E+00   3.085E+14   5.861E+33   1.812E-01      6.522E-01   3.698E-01   6.897E-01   1.714E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.835E+09   1.880E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.821114E-01   5.913288E-01
   91   9.883318E+03   1.267998E+00   2.993E+14   5.544E+33   1.759E-01      6.432E-01   3.537E-01   6.770E-01   1.698E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.692E+09   2.028E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.872300E-01   5.976160E-01
   92   9.919388E+03   1.274525E+00   2.901E+14   5.230E+33   1.705E-01      6.336E-01   3.360E-01   6.637E-01   1.682E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.551E+09   2.183E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.924599E-01   6.040229E-01
   93   9.955199E+03   1.281004E+00   2.810E+14   4.918E+33   1.653E-01      6.240E-01   3.176E-01   6.503E-01   1.666E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.415E+09   2.334E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.976610E-01   6.105787E-01
   94   9.990754E+03   1.287437E+00   2.720E+14   4.608E+33   1.601E-01      6.141E-01   2.976E-01   6.366E-01   1.649E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.278E+09   2.483E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.029767E-01   6.173000E-01
   95   1.002606E+04   1.293569E+00   2.639E+14   4.320E+33   1.555E-01      6.052E-01   2.789E-01   6.243E-01   1.634E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.162E+09   2.606E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.077088E-01   6.234693E-01
   96   1.006111E+04   1.299118E+00   2.579E+14   4.076E+33   1.519E-01      5.982E-01   2.633E-01   6.147E-01   1.622E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.072E+09   2.697E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.113786E-01   6.282557E-01
   97   1.009593E+04   1.304628E+00   2.518E+14   3.833E+33   1.484E-01      5.911E-01   2.469E-01   6.051E-01   1.610E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.985E+09   2.784E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.150406E-01   6.331073E-01
   98   1.013050E+04   1.310100E+00   2.458E+14   3.592E+33   1.450E-01      5.839E-01   2.296E-01   5.955E-01   1.598E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.901E+09   2.868E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.186859E-01   6.380251E-01
   99   1.016484E+04   1.315535E+00   2.399E+14   3.353E+33   1.415E-01      5.765E-01   2.098E-01   5.857E-01   1.586E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.816E+09   2.952E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.223956E-01   6.430299E-01
  100   1.019895E+04   1.320933E+00   2.339E+14   3.115E+33   1.380E-01      5.691E-01   1.893E-01   5.760E-01   1.573E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.734E+09   3.034E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.260664E-01   6.481009E-01
  101   1.023284E+04   1.326296E+00   2.281E+14   2.878E+33   1.346E-01      5.615E-01   1.666E-01   5.663E-01   1.561E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.655E+09   3.113E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.297319E-01   6.532496E-01
  102   1.026650E+04   1.331623E+00   2.222E+14   2.644E+33   1.312E-01      5.536E-01   1.361E-01   5.564E-01   1.548E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.575E+09   3.186E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.334681E-01   6.584975E-01
  103   1.029994E+04   1.336473E+00   2.158E+14   2.439E+33   1.275E-01      5.447E-01   1.104E-01   5.462E-01   1.534E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.491E+09   3.244E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.374787E-01   6.643653E-01
  104   1.033317E+04   1.341004E+00   2.091E+14   2.253E+33   1.236E-01      5.350E-01   8.536E-02   5.357E-01   1.519E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.403E+09   3.282E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.417438E-01   6.707199E-01
  105   1.036618E+04   1.345507E+00   2.024E+14   2.069E+33   1.196E-01      5.249E-01  -0.000E+00   5.249E-01   1.503E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.316E+09   3.289E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.460904E-01   6.772269E-01
  106   1.039898E+04   1.349981E+00   1.958E+14   1.886E+33   1.158E-01      5.146E-01  -0.000E+00   5.146E-01   1.488E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.235E+09   3.264E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.503152E-01   6.838051E-01
  107   1.043158E+04   1.354426E+00   1.892E+14   1.704E+33   1.119E-01      5.040E-01  -0.000E+00   5.040E-01   1.471E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.154E+09   3.212E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.546580E-01   6.905671E-01
  108   1.046398E+04   1.358844E+00   1.826E+14   1.524E+33   1.081E-01      4.932E-01  -0.000E+00   4.932E-01   1.455E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.076E+09   3.139E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.589911E-01   6.974328E-01
  109   1.049618E+04   1.362811E+00   1.753E+14   1.367E+33   1.038E-01      4.810E-01  -0.000E+00   4.810E-01   1.436E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.936E+08   3.039E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.638311E-01   7.052264E-01
  110   1.052818E+04   1.366477E+00   1.676E+14   1.225E+33   9.925E-02      4.674E-01  -0.000E+00   4.674E-01   1.416E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.071E+08   2.915E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.691184E-01   7.137947E-01
  111   1.055998E+04   1.370122E+00   1.600E+14   1.084E+33   9.485E-02      4.537E-01  -0.000E+00   4.537E-01   1.395E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.277E+08   2.780E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    8.743065E-01   7.224649E-01
  112   1.058216E+04   1.372663E+00   1.540E+14   9.863E+32   9.124E-02      4.472E-01                           1.271E+00                                                      1.589E+09                                  1s0  966.8  232.0   32.0   9.501920E-01   0.000000E+00
  113   1.060808E+04   1.375632E+00   1.482E+14   8.716E+32   8.776E-02      4.408E-01                           1.255E+00                                                      1.780E+09                                  1s0  971.1  232.0   32.0   9.519280E-01   0.000000E+00
  114   1.062757E+04   1.377709E+00   1.426E+14   7.926E+32   8.441E-02      4.345E-01                           1.240E+00                                                      1.984E+09                                  1s0  975.2  232.0   32.0   9.536462E-01   0.000000E+00
  115   1.064157E+04   1.379026E+00   1.372E+14   7.440E+32   8.119E-02      4.283E-01                           1.224E+00                                                      2.201E+09                                  1s0  979.2  232.0   32.0   9.553467E-01   0.000000E+00
  116   1.065558E+04   1.380342E+00   1.320E+14   6.953E+32   7.810E-02      4.205E-01                           1.210E+00                                                      2.399E+09                                  1s0  995.2  232.0   32.0   9.568542E-01   0.000000E+00
  117   1.066959E+04   1.381659E+00   1.271E+14   6.466E+32   7.517E-02      4.087E-01                           1.201E+00                                                      2.541E+09                                  1s0 1043.5  232.0   32.0   9.579270E-01   0.000000E+00
  118   1.068359E+04   1.382975E+00   1.223E+14   5.980E+32   7.235E-02      3.977E-01                           1.190E+00                                                      2.690E+09                                  1s0 1090.1  232.0   32.0   9.590719E-01   0.000000E+00
  119   1.069760E+04   1.384291E+00   1.177E+14   5.493E+32   6.963E-02      3.874E-01                           1.179E+00                                                      2.842E+09                                  1s0 1134.9  232.0   32.0   9.602724E-01   0.000000E+00
  120   1.071161E+04   1.385608E+00   1.132E+14   5.007E+32   6.702E-02      3.778E-01                           1.168E+00                                                      2.993E+09                                  1s0 1178.0  232.0   32.0   9.615153E-01   0.000000E+00
  121   1.072480E+04   1.386810E+00   1.090E+14   4.564E+32   6.451E-02      3.687E-01                           1.156E+00                                                      3.139E+09                                  1s0 1219.4  232.0   32.0   9.627907E-01   0.000000E+00
  122   1.073390E+04   1.387434E+00   1.049E+14   4.341E+32   6.209E-02      3.601E-01                           1.145E+00                                                      3.280E+09                                  1s0 1259.3  232.0   32.0   9.640903E-01   0.000000E+00
  123   1.074299E+04   1.388058E+00   1.009E+14   4.118E+32   5.976E-02      3.520E-01                           1.133E+00                                                      3.416E+09                                  1s0 1297.8  232.0   32.0   9.654079E-01   0.000000E+00
  124   1.075209E+04   1.388682E+00   9.711E+13   3.894E+32   5.752E-02      3.443E-01                           1.121E+00                                                      3.547E+09                                  1s0 1334.7  232.0   32.0   9.667381E-01   0.000000E+00
  125   1.076118E+04   1.389306E+00   9.345E+13   3.671E+32   5.536E-02      3.370E-01                           1.108E+00                                                      3.674E+09                                  1s0 1370.3  232.0   32.0   9.680768E-01   0.000000E+00
  126   1.077028E+04   1.389930E+00   8.993E+13   3.448E+32   5.329E-02      3.300E-01                           1.096E+00                                                      3.796E+09                                  1s0 1404.5  232.0   32.0   9.694203E-01   0.000000E+00
  127   1.077937E+04   1.390553E+00   8.655E+13   3.225E+32   5.129E-02      3.234E-01                           1.084E+00                                                      3.915E+09                                  1s0 1437.4  232.0   32.0   9.707658E-01   0.000000E+00
  128   1.078847E+04   1.391177E+00   8.328E+13   3.002E+32   4.937E-02      3.169E-01                           1.072E+00                                                      4.029E+09                                  1s0 1469.1  232.0   32.0   9.721110E-01   0.000000E+00
  129   1.079756E+04   1.391801E+00   8.015E+13   2.779E+32   4.752E-02      3.108E-01                           1.060E+00                                                      4.139E+09                                  1s0 1499.6  232.0   32.0   9.734536E-01   0.000000E+00
  130   1.080568E+04   1.392292E+00   7.713E+13   2.605E+32   4.573E-02      3.291E-01                           1.060E+00                                                      4.135E+09                                  1s0 1519.5  183.0   40.0   9.733988E-01   0.000000E+00
  131   1.081278E+04   1.392642E+00   7.422E+13   2.484E+32   4.401E-02      3.236E-01                           1.047E+00                                                      4.247E+09                                  1s0 1538.6  183.0   40.0   9.748141E-01   0.000000E+00
  132   1.081988E+04   1.392992E+00   7.142E+13   2.362E+32   4.236E-02      3.182E-01                           1.034E+00                                                      4.353E+09                                  1s0 1556.9  183.0   40.0   9.762162E-01   0.000000E+00
  133   1.082698E+04   1.393343E+00   6.873E+13   2.240E+32   4.077E-02      3.130E-01                           1.022E+00                                                      4.453E+09                                  1s0 1574.5  183.0   40.0   9.776047E-01   0.000000E+00
  134   1.083407E+04   1.393693E+00   6.614E+13   2.118E+32   3.923E-02      3.079E-01                           1.009E+00                                                      4.548E+09                                  1s0 1591.5  183.0   40.0   9.789795E-01   0.000000E+00
  135   1.084117E+04   1.394043E+00   6.365E+13   1.996E+32   3.776E-02      3.030E-01                           9.969E-01                                                      4.637E+09                                  1s0 1607.8  183.0   40.0   9.803404E-01   0.000000E+00
  136   1.084827E+04   1.394394E+00   6.125E+13   1.874E+32   3.634E-02      2.982E-01                           9.847E-01                                                      4.720E+09                                  1s0 1623.5  183.0   40.0   9.816872E-01   0.000000E+00
  137   1.085537E+04   1.394744E+00   5.894E+13   1.753E+32   3.497E-02      2.935E-01                           9.725E-01                                                      4.798E+09                                  1s0 1638.7  183.0   40.0   9.830198E-01   0.000000E+00
  138   1.086246E+04   1.395094E+00   5.672E+13   1.631E+32   3.366E-02      2.889E-01                           9.606E-01                                                      4.869E+09                                  1s0 1653.2  183.0   40.0   9.843382E-01   0.000000E+00
  139   1.086918E+04   1.395398E+00   5.459E+13   1.526E+32   3.239E-02      2.844E-01                           9.487E-01                                                      4.934E+09                                  1s0 1667.2  183.0   40.0   9.856424E-01   0.000000E+00
  140   1.087512E+04   1.395606E+00   5.253E+13   1.455E+32   3.118E-02      2.801E-01                           9.370E-01                                                      4.994E+09                                  1s0 1680.7  183.0   40.0   9.869323E-01   0.000000E+00
  141   1.088105E+04   1.395814E+00   5.055E+13   1.384E+32   3.001E-02      2.758E-01                           9.254E-01                                                      5.047E+09                                  1s0 1693.7  183.0   40.0   9.882079E-01   0.000000E+00
  142   1.088699E+04   1.396023E+00   4.865E+13   1.313E+32   2.888E-02      2.717E-01                           9.139E-01                                                      5.094E+09                                  1s0 1706.1  183.0   40.0   9.894693E-01   0.000000E+00
  143   1.089293E+04   1.396231E+00   4.681E+13   1.243E+32   2.779E-02      2.676E-01                           9.026E-01                                                      5.134E+09                                  1s0 1718.2  183.0   40.0   9.907163E-01   0.000000E+00
  144   1.089887E+04   1.396440E+00   4.505E+13   1.172E+32   2.675E-02      2.636E-01                           8.914E-01                                                      5.169E+09                                  1s0 1729.7  183.0   40.0   9.919492E-01   0.000000E+00
  145   1.090480E+04   1.396648E+00   4.335E+13   1.101E+32   2.575E-02      2.597E-01                           8.803E-01                                                      5.197E+09                                  1s0 1740.8  183.0   40.0   9.931679E-01   0.000000E+00
  146   1.091074E+04   1.396856E+00   4.172E+13   1.030E+32   2.478E-02      2.559E-01                           8.693E-01                                                      5.219E+09                                  1s0 1751.5  183.0   40.0   9.943726E-01   0.000000E+00
  147   1.091668E+04   1.397065E+00   4.015E+13   9.596E+31   2.385E-02      2.521E-01                           8.585E-01                                                      5.235E+09                                  1s0 1761.8  183.0   40.0   9.955632E-01   0.000000E+00
  148   1.092247E+04   1.397261E+00   3.863E+13   8.931E+31   2.295E-02      2.485E-01                           8.478E-01                                                      5.244E+09                                  1s0 1771.7  183.0   40.0   9.967398E-01   0.000000E+00
  149   1.092739E+04   1.397383E+00   3.718E+13   8.524E+31   2.209E-02      2.449E-01                           8.372E-01                                                      5.248E+09                                  1s0 1781.3  183.0   40.0   9.979026E-01   0.000000E+00
  150   1.093232E+04   1.397505E+00   3.578E+13   8.117E+31   2.126E-02      2.414E-01                           8.268E-01                                                      5.245E+09                                  1s0 1790.5  183.0   40.0   9.990516E-01   0.000000E+00
  151   1.093724E+04   1.397628E+00   3.443E+13   7.710E+31   2.046E-02      2.379E-01                           8.165E-01                                                      5.236E+09                                  1s0 1799.3  183.0   40.0   1.000000E+00   0.000000E+00
  152   1.094216E+04   1.397750E+00   3.313E+13   7.302E+31   1.969E-02      2.543E-01                           8.040E-01                                                      5.217E+09                                  1s0 1772.4  193.0   50.0   1.000000E+00   0.000000E+00
  153   1.094708E+04   1.397873E+00   3.188E+13   6.895E+31   1.895E-02      2.525E-01                           7.932E-01                                                      5.193E+09                                  1s0 1743.4  193.0   50.0   1.000000E+00   0.000000E+00
  154   1.095200E+04   1.397995E+00   3.068E+13   6.488E+31   1.824E-02      2.506E-01                           7.826E-01                                                      5.162E+09                                  1s0 1715.4  193.0   50.0   1.000000E+00   0.000000E+00
  155   1.095693E+04   1.398117E+00   2.953E+13   6.080E+31   1.755E-02      2.487E-01                           7.722E-01                                                      5.126E+09                                  1s0 1688.6  193.0   50.0   1.000000E+00   0.000000E+00
  156   1.096185E+04   1.398240E+00   2.841E+13   5.673E+31   1.689E-02      2.469E-01                           7.618E-01                                                      5.085E+09                                  1s0 1662.7  193.0   50.0   1.000000E+00   0.000000E+00
  157   1.096677E+04   1.398362E+00   2.734E+13   5.266E+31   1.626E-02      2.449E-01                           7.517E-01                                                      5.039E+09                                  1s0 1637.8  193.0   50.0   1.000000E+00   0.000000E+00
  158   1.097098E+04   1.398441E+00   2.631E+13   5.008E+31   1.565E-02      2.430E-01                           7.416E-01                                                      4.990E+09                                  1s0 1613.9  193.0   50.0   1.000000E+00   0.000000E+00
  159   1.097508E+04   1.398512E+00   2.532E+13   4.773E+31   1.506E-02      2.411E-01                           7.317E-01                                                      4.938E+09                                  1s0 1590.8  193.0   50.0   1.000000E+00   0.000000E+00
  160   1.097918E+04   1.398584E+00   2.437E+13   4.538E+31   1.449E-02      2.392E-01                           7.220E-01                                                      4.882E+09                                  1s0 1568.7  193.0   50.0   1.000000E+00   0.000000E+00
  161   1.098328E+04   1.398656E+00   2.345E+13   4.303E+31   1.395E-02      2.372E-01                           7.124E-01                                                      4.825E+09                                  1s0 1547.3  193.0   50.0   1.000000E+00   0.000000E+00
  162   1.098739E+04   1.398728E+00   2.257E+13   4.068E+31   1.342E-02      2.352E-01                           7.029E-01                                                      4.765E+09                                  1s0 1526.8  193.0   50.0   1.000000E+00   0.000000E+00
  163   1.099149E+04   1.398800E+00   2.172E+13   3.833E+31   1.292E-02      2.333E-01                           6.935E-01                                                      4.705E+09                                  1s0 1507.0  193.0   50.0   1.000000E+00   0.000000E+00
  164   1.099559E+04   1.398872E+00   2.090E+13   3.598E+31   1.243E-02      2.313E-01                           6.843E-01                                                      4.643E+09                                  1s0 1488.0  193.0   50.0   1.000000E+00   0.000000E+00
  165   1.099969E+04   1.398944E+00   2.011E+13   3.363E+31   1.197E-02      2.293E-01                           6.752E-01                                                      4.580E+09                                  1s0 1469.7  193.0   50.0   1.000000E+00   0.000000E+00
  166   1.100379E+04   1.399016E+00   1.935E+13   3.127E+31   1.152E-02      2.273E-01                           6.662E-01                                                      4.516E+09                                  1s0 1452.1  193.0   50.0   1.000000E+00   0.000000E+00
  167   1.100750E+04   1.399071E+00   1.862E+13   2.948E+31   1.108E-02      2.253E-01                           6.573E-01                                                      4.453E+09                                  1s0 1435.1  193.0   50.0   1.000000E+00   0.000000E+00
  168   1.101089E+04   1.399113E+00   1.792E+13   2.813E+31   1.067E-02      2.233E-01                           6.486E-01                                                      4.389E+09                                  1s0 1418.8  193.0   50.0   1.000000E+00   0.000000E+00
  169   1.101428E+04   1.399154E+00   1.725E+13   2.679E+31   1.027E-02      2.213E-01                           6.400E-01                                                      4.325E+09                                  1s0 1403.1  193.0   50.0   1.000000E+00   0.000000E+00
  170   1.101767E+04   1.399196E+00   1.660E+13   2.544E+31   9.881E-03      2.192E-01                           6.315E-01                                                      4.261E+09                                  1s0 1388.0  193.0   50.0   1.000000E+00   0.000000E+00
  171   1.102106E+04   1.399238E+00   1.597E+13   2.409E+31   9.510E-03      2.172E-01                           6.232E-01                                                      4.198E+09                                  1s0 1373.5  193.0   50.0   1.000000E+00   0.000000E+00
  172   1.102445E+04   1.399280E+00   1.537E+13   2.275E+31   9.153E-03      2.152E-01                           6.149E-01                                                      4.136E+09                                  1s0 1359.5  193.0   50.0   1.000000E+00   0.000000E+00
  173   1.102784E+04   1.399321E+00   1.479E+13   2.140E+31   8.809E-03      2.134E-01                           6.118E-01                                                      4.111E+09                                  1s0 1341.9  164.0   50.0   1.000000E+00   0.000000E+00
  174   1.103123E+04   1.399363E+00   1.423E+13   2.005E+31   8.477E-03      2.121E-01                           6.034E-01                                                      4.048E+09                                  1s0 1315.5  164.0   50.0   1.000000E+00   0.000000E+00
  175   1.103462E+04   1.399405E+00   1.370E+13   1.871E+31   8.158E-03      2.108E-01                           5.952E-01                                                      3.985E+09                                  1s0 1290.1  164.0   50.0   1.000000E+00   0.000000E+00
  176   1.103794E+04   1.399445E+00   1.318E+13   1.743E+31   7.851E-03      2.094E-01                           5.871E-01                                                      3.923E+09                                  1s0 1265.7  164.0   50.0   1.000000E+00   0.000000E+00
  177   1.104069E+04   1.399468E+00   1.268E+13   1.668E+31   7.555E-03      2.080E-01                           5.791E-01                                                      3.862E+09                                  1s0 1242.1  164.0   50.0   1.000000E+00   0.000000E+00
  178   1.104344E+04   1.399492E+00   1.221E+13   1.593E+31   7.271E-03      2.067E-01                           5.712E-01                                                      3.802E+09                                  1s0 1219.5  164.0   50.0   1.000000E+00   0.000000E+00
  179   1.104619E+04   1.399515E+00   1.175E+13   1.518E+31   6.997E-03      2.053E-01                           5.634E-01                                                      3.742E+09                                  1s0 1197.7  164.0   50.0   1.000000E+00   0.000000E+00
  180   1.104894E+04   1.399539E+00   1.130E+13   1.443E+31   6.733E-03      2.039E-01                           5.557E-01                                                      3.682E+09                                  1s0 1176.7  164.0   50.0   1.000000E+00   0.000000E+00
  181   1.105169E+04   1.399562E+00   1.088E+13   1.368E+31   6.480E-03      2.024E-01                           5.481E-01                                                      3.623E+09                                  1s0 1156.5  164.0   50.0   1.000000E+00   0.000000E+00
  182   1.105444E+04   1.399586E+00   1.047E+13   1.293E+31   6.236E-03      2.010E-01                           5.406E-01                                                      3.564E+09                                  1s0 1137.1  164.0   50.0   1.000000E+00   0.000000E+00
  183   1.105719E+04   1.399610E+00   1.007E+13   1.218E+31   6.001E-03      1.995E-01                           5.332E-01                                                      3.505E+09                                  1s0 1118.4  164.0   50.0   1.000000E+00   0.000000E+00
  184   1.105994E+04   1.399633E+00   9.694E+12   1.142E+31   5.775E-03      1.981E-01                           5.260E-01                                                      3.447E+09                                  1s0 1100.4  164.0   50.0   1.000000E+00   0.000000E+00
  185   1.106269E+04   1.399657E+00   9.328E+12   1.067E+31   5.558E-03      1.965E-01                           5.194E-01                                                      3.393E+09                                  1s0 1084.4  161.0   50.0   1.000000E+00   0.000000E+00
  186   1.106523E+04   1.399676E+00   8.977E+12   1.005E+31   5.349E-03      1.949E-01                           5.124E-01                                                      3.335E+09                                  1s0 1069.0  161.0   50.0   1.000000E+00   0.000000E+00
  187   1.106738E+04   1.399689E+00   8.639E+12   9.655E+30   5.147E-03      1.934E-01                           5.054E-01                                                      3.277E+09                                  1s0 1054.2  161.0   50.0   1.000000E+00   0.000000E+00
  188   1.106954E+04   1.399702E+00   8.313E+12   9.259E+30   4.954E-03      1.918E-01                           4.986E-01                                                      3.219E+09                                  1s0 1040.0  161.0   50.0   1.000000E+00   0.000000E+00
  189   1.107170E+04   1.399714E+00   8.000E+12   8.863E+30   4.767E-03      1.902E-01                           4.919E-01                                                      3.161E+09                                  1s0 1026.3  161.0   50.0   1.000000E+00   0.000000E+00
  190   1.107385E+04   1.399727E+00   7.699E+12   8.467E+30   4.588E-03      1.886E-01                           4.852E-01                                                      3.102E+09                                  1s0 1013.1  161.0   50.0   1.000000E+00   0.000000E+00
  191   1.107601E+04   1.399739E+00   7.408E+12   8.071E+30   4.415E-03      1.870E-01                           4.787E-01                                                      3.044E+09                                  1s0 1000.4  161.0   50.0   1.000000E+00   0.000000E+00
  192   1.107817E+04   1.399752E+00   7.129E+12   7.675E+30   4.249E-03      1.853E-01                           4.722E-01                                                      2.986E+09                                  1s0  988.2  161.0   50.0   1.000000E+00   0.000000E+00
  193   1.108032E+04   1.399764E+00   6.861E+12   7.279E+30   4.089E-03      1.837E-01                           4.659E-01                                                      2.928E+09                                  1s0  976.4  161.0   50.0   1.000000E+00   0.000000E+00
  194   1.108248E+04   1.399777E+00   6.602E+12   6.883E+30   3.935E-03      1.821E-01                           4.596E-01                                                      2.871E+09                                  1s0  965.1  161.0   50.0   1.000000E+00   0.000000E+00
  195   1.108464E+04   1.399789E+00   6.353E+12   6.487E+30   3.787E-03      1.805E-01                           4.534E-01                                                      2.813E+09                                  1s0  954.2  161.0   50.0   1.000000E+00   0.000000E+00
  196   1.108679E+04   1.399802E+00   6.114E+12   6.091E+30   3.645E-03      1.796E-01                           4.473E-01                                                      2.757E+09                                  1s0  932.1  159.0   50.0   1.000000E+00   0.000000E+00
  197   1.108850E+04   1.399809E+00   5.884E+12   5.858E+30   3.508E-03      1.791E-01                           4.407E-01                                                      2.694E+09                                  1s0  903.2  159.0   50.0   1.000000E+00   0.000000E+00
  198   1.109007E+04   1.399815E+00   5.662E+12   5.677E+30   3.376E-03      1.787E-01                           4.341E-01                                                      2.632E+09                                  1s0  875.5  159.0   50.0   1.000000E+00   0.000000E+00
  199   1.109164E+04   1.399821E+00   5.449E+12   5.495E+30   3.248E-03      1.783E-01                           4.276E-01                                                      2.571E+09                                  1s0  848.7  159.0   50.0   1.000000E+00   0.000000E+00
  200   1.109320E+04   1.399827E+00   5.243E+12   5.314E+30   3.126E-03      1.778E-01                           4.211E-01                                                      2.509E+09                                  1s0  823.0  159.0   50.0   1.000000E+00   0.000000E+00
  201   1.109477E+04   1.399833E+00   5.046E+12   5.132E+30   3.008E-03      1.774E-01                           4.147E-01                                                      2.448E+09                                  1s0  798.3  159.0   50.0   1.000000E+00   0.000000E+00
  202   1.109633E+04   1.399839E+00   4.856E+12   4.951E+30   2.895E-03      1.769E-01                           4.084E-01                                                      2.388E+09                                  1s0  774.4  159.0   50.0   1.000000E+00   0.000000E+00
  203   1.109790E+04   1.399844E+00   4.673E+12   4.770E+30   2.786E-03      1.764E-01                           4.022E-01                                                      2.328E+09                                  1s0  751.5  159.0   50.0   1.000000E+00   0.000000E+00
  204   1.109947E+04   1.399850E+00   4.497E+12   4.588E+30   2.681E-03      1.759E-01                           3.960E-01                                                      2.269E+09                                  1s0  729.5  159.0   50.0   1.000000E+00   0.000000E+00
  205   1.110103E+04   1.399856E+00   4.327E+12   4.407E+30   2.580E-03      1.754E-01                           3.898E-01                                                      2.211E+09                                  1s0  708.2  159.0   50.0   1.000000E+00   0.000000E+00
  206   1.110260E+04   1.399862E+00   4.164E+12   4.225E+30   2.483E-03      1.748E-01                           3.838E-01                                                      2.153E+09                                  1s0  687.8  159.0   50.0   1.000000E+00   0.000000E+00
  207   1.110417E+04   1.399868E+00   4.007E+12   4.044E+30   2.390E-03      1.743E-01                           3.778E-01                                                      2.096E+09                                  1s0  668.2  159.0   50.0   1.000000E+00   0.000000E+00
  208   1.110573E+04   1.399873E+00   3.856E+12   3.863E+30   2.300E-03      1.737E-01                           3.719E-01                                                      2.039E+09                                  1s0  649.2  159.0   50.0   1.000000E+00   0.000000E+00
  209   1.110730E+04   1.399879E+00   3.711E+12   3.681E+30   2.213E-03      1.732E-01                           3.660E-01                                                      1.984E+09                                  1s0  631.0  159.0   50.0   1.000000E+00   0.000000E+00
  210   1.110875E+04   1.399883E+00   3.571E+12   3.565E+30   2.130E-03      1.726E-01                           3.602E-01                                                      1.929E+09                                  1s0  613.5  159.0   50.0   1.000000E+00   0.000000E+00
  211   1.111017E+04   1.399886E+00   3.437E+12   3.466E+30   2.050E-03      1.720E-01                           3.544E-01                                                      1.875E+09                                  1s0  596.7  159.0   50.0   1.000000E+00   0.000000E+00
  212   1.111160E+04   1.399889E+00   3.307E+12   3.367E+30   1.973E-03      1.714E-01                           3.487E-01                                                      1.822E+09                                  1s0  580.4  159.0   50.0   1.000000E+00   0.000000E+00
  213   1.111302E+04   1.399892E+00   3.183E+12   3.268E+30   1.898E-03      1.707E-01                           3.431E-01                                                      1.769E+09                                  1s0  564.8  159.0   50.0   1.000000E+00   0.000000E+00
