         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   6.976E+14   8.098E+34   3.879E-01      1.042E+00   8.936E-01   1.226E+00   2.128E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.497E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    1   2.438350E+03   2.108625E-02   6.762E+14   7.473E+34   3.773E-01      1.024E+00   8.724E-01   1.202E+00   2.113E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.757E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    2   3.072128E+03   4.195423E-02   6.636E+14   7.118E+34   3.710E-01      1.013E+00   8.597E-01   1.187E+00   2.104E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.913E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    3   3.516709E+03   6.223355E-02   6.531E+14   6.830E+34   3.658E-01      1.004E+00   8.490E-01   1.175E+00   2.096E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.045E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    4   3.870639E+03   8.129604E-02   6.440E+14   6.582E+34   3.612E-01      9.958E-01   8.396E-01   1.165E+00   2.089E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.161E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    5   4.169519E+03   1.020605E-01   6.352E+14   6.351E+34   3.568E-01      9.881E-01   8.304E-01   1.154E+00   2.082E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.274E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    6   4.430775E+03   1.202864E-01   6.275E+14   6.147E+34   3.529E-01      9.813E-01   8.223E-01   1.145E+00   2.076E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.374E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    7   4.664395E+03   1.405686E-01   6.197E+14   5.951E+34   3.489E-01      9.744E-01   8.141E-01   1.136E+00   2.070E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.475E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    8   4.876699E+03   1.594514E-01   6.126E+14   5.770E+34   3.453E-01      9.680E-01   8.064E-01   1.127E+00   2.064E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.569E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
    9   5.071972E+03   1.768194E-01   6.060E+14   5.604E+34   3.419E-01      9.621E-01   7.993E-01   1.119E+00   2.058E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.656E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
   10   5.253265E+03   1.963455E-01   5.992E+14   5.440E+34   3.384E-01      9.560E-01   7.919E-01   1.111E+00   2.053E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.745E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
   11   5.422841E+03   2.151937E-01   5.927E+14   5.285E+34   3.351E-01      9.501E-01   7.848E-01   1.103E+00   2.047E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.831E+08   1.000E+00   1.000E+00   10000  3p2   N/A    N/A    N/A 
   12   5.582427E+03   2.329315E-01   5.866E+14   5.139E+34   3.319E-01      9.445E-01   7.781E-01   1.095E+00   2.042E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.912E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   13   5.733376E+03   2.497093E-01   5.808E+14   5.001E+34   3.289E-01      9.393E-01   7.717E-01   1.088E+00   2.037E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.989E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   14   5.876770E+03   2.674840E-01   5.750E+14   4.866E+34   3.259E-01      9.339E-01   7.651E-01   1.081E+00   2.032E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.066E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   15   6.013487E+03   2.860098E-01   5.690E+14   4.735E+34   3.228E-01      9.284E-01   7.585E-01   1.073E+00   2.027E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.145E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   16   6.144256E+03   3.037296E-01   5.634E+14   4.610E+34   3.199E-01      9.232E-01   7.521E-01   1.066E+00   2.021E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.219E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   17   6.269683E+03   3.207256E-01   5.580E+14   4.489E+34   3.171E-01      9.182E-01   7.459E-01   1.059E+00   2.016E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.291E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   18   6.390284E+03   3.370675E-01   5.528E+14   4.374E+34   3.144E-01      9.133E-01   7.399E-01   1.053E+00   2.012E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.359E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   19   6.506496E+03   3.528148E-01   5.478E+14   4.262E+34   3.117E-01      9.086E-01   7.341E-01   1.046E+00   2.007E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.425E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   20   6.618699E+03   3.697368E-01   5.425E+14   4.153E+34   3.090E-01      9.038E-01   7.281E-01   1.040E+00   2.002E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.493E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   21   6.727222E+03   3.871390E-01   5.373E+14   4.047E+34   3.062E-01      8.988E-01   7.219E-01   1.033E+00   1.997E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.561E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   22   6.832352E+03   4.039972E-01   5.322E+14   3.944E+34   3.036E-01      8.940E-01   7.159E-01   1.026E+00   1.992E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.626E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   23   6.934342E+03   4.203520E-01   5.272E+14   3.844E+34   3.009E-01      8.893E-01   7.100E-01   1.020E+00   1.987E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.690E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   24   7.033417E+03   4.362392E-01   5.224E+14   3.747E+34   2.984E-01      8.847E-01   7.043E-01   1.014E+00   1.983E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.751E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   25   7.129778E+03   4.516911E-01   5.178E+14   3.653E+34   2.959E-01      8.802E-01   6.987E-01   1.008E+00   1.978E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.809E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   26   7.223601E+03   4.667363E-01   5.132E+14   3.561E+34   2.935E-01      8.759E-01   6.932E-01   1.002E+00   1.973E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.866E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   27   7.315049E+03   4.814004E-01   5.088E+14   3.472E+34   2.912E-01      8.716E-01   6.878E-01   9.958E-01   1.969E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.921E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   28   7.404266E+03   4.974841E-01   5.040E+14   3.385E+34   2.886E-01      8.671E-01   6.820E-01   9.896E-01   1.964E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.979E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   29   7.491383E+03   5.134547E-01   4.993E+14   3.301E+34   2.861E-01      8.625E-01   6.762E-01   9.833E-01   1.959E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.035E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   30   7.576520E+03   5.290624E-01   4.947E+14   3.218E+34   2.837E-01      8.580E-01   6.705E-01   9.772E-01   1.954E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.090E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   31   7.659785E+03   5.443269E-01   4.902E+14   3.138E+34   2.812E-01      8.536E-01   6.648E-01   9.712E-01   1.950E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.143E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   32   7.741278E+03   5.592666E-01   4.858E+14   3.059E+34   2.789E-01      8.494E-01   6.593E-01   9.653E-01   1.945E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.193E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   33   7.821090E+03   5.738981E-01   4.815E+14   2.982E+34   2.766E-01      8.451E-01   6.539E-01   9.594E-01   1.940E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.242E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   34   7.899306E+03   5.882370E-01   4.773E+14   2.906E+34   2.743E-01      8.410E-01   6.485E-01   9.537E-01   1.936E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.289E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   35   7.976004E+03   6.022975E-01   4.731E+14   2.832E+34   2.721E-01      8.369E-01   6.432E-01   9.481E-01   1.931E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.334E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   36   8.051253E+03   6.160925E-01   4.690E+14   2.759E+34   2.699E-01      8.329E-01   6.379E-01   9.425E-01   1.927E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.377E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   37   8.125122E+03   6.299365E-01   4.649E+14   2.688E+34   2.676E-01      8.288E-01   6.326E-01   9.370E-01   1.922E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.420E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   38   8.197671E+03   6.445671E-01   4.606E+14   2.621E+34   2.653E-01      8.245E-01   6.269E-01   9.309E-01   1.917E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.465E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   39   8.268959E+03   6.589434E-01   4.563E+14   2.555E+34   2.630E-01      8.202E-01   6.213E-01   9.250E-01   1.912E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.507E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   40   8.339038E+03   6.730759E-01   4.520E+14   2.490E+34   2.607E-01      8.160E-01   6.157E-01   9.192E-01   1.908E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.548E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   41   8.407960E+03   6.869749E-01   4.479E+14   2.427E+34   2.584E-01      8.118E-01   6.102E-01   9.135E-01   1.903E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.586E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   42   8.475768E+03   7.006495E-01   4.438E+14   2.364E+34   2.562E-01      8.077E-01   6.047E-01   9.078E-01   1.898E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.623E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   43   8.542510E+03   7.141089E-01   4.398E+14   2.302E+34   2.540E-01      8.036E-01   5.993E-01   9.022E-01   1.893E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.658E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   44   8.608224E+03   7.273612E-01   4.358E+14   2.241E+34   2.518E-01      7.996E-01   5.939E-01   8.966E-01   1.889E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.692E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   45   8.672950E+03   7.404141E-01   4.319E+14   2.181E+34   2.497E-01      7.957E-01   5.886E-01   8.911E-01   1.884E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.723E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   46   8.736724E+03   7.532751E-01   4.281E+14   2.122E+34   2.476E-01      7.918E-01   5.832E-01   8.857E-01   1.879E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.752E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   47   8.799580E+03   7.659511E-01   4.243E+14   2.064E+34   2.455E-01      7.879E-01   5.780E-01   8.803E-01   1.875E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.780E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   48   8.861551E+03   7.784484E-01   4.206E+14   2.007E+34   2.435E-01      7.841E-01   5.728E-01   8.750E-01   1.870E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.806E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   49   8.922667E+03   7.914194E-01   4.165E+14   1.955E+34   2.412E-01      7.799E-01   5.670E-01   8.692E-01   1.865E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.833E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   50   8.982957E+03   8.042566E-01   4.124E+14   1.903E+34   2.390E-01      7.757E-01   5.613E-01   8.634E-01   1.860E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.858E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   51   9.042449E+03   8.169237E-01   4.084E+14   1.852E+34   2.368E-01      7.716E-01   5.556E-01   8.576E-01   1.855E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.881E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   52   9.101167E+03   8.294263E-01   4.045E+14   1.802E+34   2.346E-01      7.675E-01   5.498E-01   8.519E-01   1.850E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.902E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   53   9.159138E+03   8.417695E-01   4.006E+14   1.753E+34   2.324E-01      7.634E-01   5.442E-01   8.463E-01   1.845E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.921E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   54   9.216384E+03   8.539585E-01   3.967E+14   1.704E+34   2.303E-01      7.594E-01   5.385E-01   8.407E-01   1.840E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.938E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   55   9.272928E+03   8.659979E-01   3.929E+14   1.656E+34   2.282E-01      7.554E-01   5.329E-01   8.351E-01   1.835E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.952E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   56   9.328790E+03   8.778923E-01   3.892E+14   1.608E+34   2.261E-01      7.515E-01   5.273E-01   8.296E-01   1.830E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.965E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   57   9.383992E+03   8.896459E-01   3.855E+14   1.561E+34   2.241E-01      7.476E-01   5.217E-01   8.242E-01   1.825E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.976E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   58   9.438551E+03   9.012628E-01   3.818E+14   1.515E+34   2.220E-01      7.437E-01   5.161E-01   8.187E-01   1.820E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.985E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
