         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   9.240E+14   1.278E+35   5.086E-01      8.712E-01   6.872E-01   9.952E-01   2.414E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.210E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    1   2.242060E+03   2.183730E-02   8.967E+14   1.178E+35   4.955E-01      8.642E-01   6.783E-01   9.856E-01   2.394E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.442E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    2   2.824819E+03   4.293985E-02   8.808E+14   1.121E+35   4.878E-01      8.600E-01   6.730E-01   9.799E-01   2.381E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.588E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    3   3.233611E+03   6.395904E-02   8.674E+14   1.075E+35   4.813E-01      8.564E-01   6.684E-01   9.750E-01   2.371E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.718E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    4   3.559049E+03   8.494534E-02   8.553E+14   1.034E+35   4.754E-01      8.532E-01   6.643E-01   9.706E-01   2.361E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.839E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    5   3.833869E+03   1.040785E-01   8.447E+14   9.990E+34   4.702E-01      8.503E-01   6.606E-01   9.666E-01   2.352E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.950E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    6   4.074094E+03   1.254089E-01   8.341E+14   9.649E+34   4.649E-01      8.474E-01   6.569E-01   9.626E-01   2.344E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.065E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    7   4.288907E+03   1.446274E-01   8.245E+14   9.343E+34   4.602E-01      8.448E-01   6.535E-01   9.590E-01   2.336E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.171E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
    8   4.484121E+03   1.639541E-01   8.154E+14   9.055E+34   4.557E-01      8.423E-01   6.502E-01   9.555E-01   2.328E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.277E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
